variant,k,z,m,filt,sharpe,ann_return,max_drawdown,total_return,trades,days_in_pos,ret_per_pos_day
zscore,1,1.5,1,none,-0.205,-0.0886,-0.5697,-0.4777,260,138,-0.004695
zscore,1,1.5,2,none,-0.137,-0.0682,-0.6529,-0.3901,230,256,-0.00193
zscore,1,1.5,3,none,-0.036,-0.0193,-0.7147,-0.1277,216,359,-0.00038
zscore,1,1.5,5,none,0.055,0.033,-0.7803,0.2552,178,543,0.000419
zscore,1,2.0,1,none,0.219,0.0783,-0.4935,0.6951,140,74,0.007157
zscore,1,2.0,2,none,0.102,0.0429,-0.4935,0.3418,132,137,0.002149
zscore,1,2.0,3,none,0.255,0.1113,-0.4935,1.0941,130,196,0.003778
zscore,1,2.0,5,none,0.286,0.1432,-0.5911,1.5528,118,312,0.003008
zscore,1,2.5,1,none,0.086,0.0294,-0.4935,0.2254,94,50,0.004073
zscore,1,2.5,2,none,-0.082,-0.0329,-0.5139,-0.2089,90,93,-0.002516
zscore,1,2.5,3,none,-0.044,-0.0182,-0.4935,-0.1208,90,134,-0.00096
zscore,1,2.5,5,none,0.2,0.0943,-0.5911,0.879,84,215,0.002938
zscore,2,1.5,1,none,-0.17,-0.0761,-0.5999,-0.4253,182,135,-0.004095
zscore,2,1.5,2,none,-0.12,-0.0582,-0.6068,-0.3428,178,216,-0.001942
zscore,2,1.5,3,none,0.107,0.054,-0.5834,0.4449,172,295,0.001248
zscore,2,1.5,5,none,0.066,0.0377,-0.6102,0.296,152,444,0.000584
zscore,2,2.0,1,none,0.073,0.0303,-0.5324,0.2328,112,75,0.002795
zscore,2,2.0,2,none,0.026,0.0114,-0.6068,0.0823,106,126,0.000628
zscore,2,2.0,3,none,0.224,0.1024,-0.5834,0.9796,104,174,0.003932
zscore,2,2.0,5,none,0.408,0.2071,-0.5891,2.7371,96,265,0.004987
zscore,2,2.5,1,none,0.13,0.037,-0.3554,0.2897,56,38,0.006717
zscore,2,2.5,2,none,0.239,0.0722,-0.3554,0.6294,56,63,0.00778
zscore,2,2.5,3,none,0.212,0.0658,-0.3554,0.5625,56,88,0.005084
zscore,2,2.5,5,none,0.366,0.1426,-0.3882,1.5428,52,136,0.006886
zscore,3,1.5,1,none,0.198,0.0804,-0.3631,0.7183,144,132,0.004109
zscore,3,1.5,2,none,0.218,0.0946,-0.4393,0.8827,134,198,0.003201
zscore,3,1.5,3,none,0.165,0.0766,-0.4724,0.6765,130,259,0.001997
zscore,3,1.5,5,none,0.243,0.1233,-0.5471,1.2569,120,373,0.002185
zscore,3,2.0,1,none,0.339,0.1254,-0.3499,1.2868,92,77,0.0108
zscore,3,2.0,2,none,0.296,0.1186,-0.3882,1.1917,84,120,0.006561
zscore,3,2.0,3,none,0.187,0.0792,-0.4618,0.7055,78,159,0.003363
zscore,3,2.0,5,none,0.45,0.2067,-0.4175,2.7282,76,231,0.005713
zscore,3,2.5,1,none,0.363,0.1112,-0.3289,1.092,56,41,0.018166
zscore,3,2.5,2,none,0.358,0.1143,-0.3289,1.1341,56,67,0.011379
zscore,3,2.5,3,none,0.285,0.0969,-0.3913,0.9114,52,93,0.00699
zscore,3,2.5,5,none,0.583,0.237,-0.3882,3.4347,50,140,0.010696
ndown,3,,1,none,-0.578,-0.1992,-0.8221,-0.789,290,233,-0.006655
ndown,3,,2,none,-0.429,-0.1634,-0.8281,-0.7132,290,356,-0.003502
ndown,3,,3,none,-0.464,-0.1903,-0.9099,-0.772,290,479,-0.003081
ndown,3,,5,none,-0.436,-0.2101,-0.9268,-0.8083,236,714,-0.002311
ndown,4,,1,none,0.074,0.0188,-0.4429,0.1392,144,110,0.001186
ndown,4,,2,none,0.21,0.0576,-0.4893,0.4804,144,171,0.002297
ndown,4,,3,none,0.103,0.0307,-0.5931,0.2362,144,232,0.000914
ndown,4,,5,none,0.095,0.0342,-0.6409,0.2654,138,354,0.000665
ndown,5,,1,none,0.01,0.0014,-0.2287,0.0101,72,49,0.000205
ndown,5,,2,none,-0.066,-0.01,-0.2748,-0.0681,72,79,-0.000892
ndown,5,,3,none,-0.4,-0.0688,-0.4794,-0.3929,72,109,-0.004568
ndown,5,,5,none,-0.392,-0.0857,-0.5809,-0.4661,72,169,-0.003706
zscore_lowvol,1,1.5,1,lowvol,0.042,0.0054,-0.2669,0.0384,86,41,0.000919
zscore_lowvol,1,1.5,3,lowvol,0.36,0.0614,-0.3031,0.5178,80,116,0.003604
zscore_lowvol,1,2.0,1,lowvol,0.293,0.0304,-0.1206,0.2336,50,22,0.009587
zscore_lowvol,1,2.0,3,lowvol,0.572,0.0776,-0.179,0.6877,48,64,0.008211
