config,sharpe10,ret10,sharpe26,ret26,dd10,trades
zscore k=1 z=1.5 m=1,0.114,0.4011,-0.014,-0.0409,-0.4872,260
zscore k=1 z=1.5 m=2,0.12,0.5011,0.022,0.0774,-0.5925,230
zscore k=1 z=1.5 m=3,0.21,1.1027,0.119,0.539,-0.6627,216
zscore k=1 z=1.5 m=5,0.259,1.7276,0.19,1.123,-0.7503,178
zscore k=1 z=2.0 m=1,0.453,1.8691,0.361,1.3439,-0.4872,140
zscore k=1 z=2.0 m=2,0.291,1.2426,0.219,0.8542,-0.4872,132
zscore k=1 z=2.0 m=3,0.454,2.5564,0.381,1.9405,-0.4872,130
zscore k=1 z=2.0 m=5,0.459,3.2612,0.4,2.593,-0.5837,118
zscore k=1 z=2.5 m=1,0.245,0.7581,0.183,0.5304,-0.4872,94
zscore k=1 z=2.5 m=2,0.045,0.1325,-0.003,-0.0086,-0.4872,90
zscore k=1 z=2.5 m=3,0.085,0.2728,0.038,0.1142,-0.4872,90
zscore k=1 z=2.5 m=5,0.326,1.714,0.283,1.399,-0.5837,84
zscore k=2 z=1.5 m=1,0.044,0.1474,-0.039,-0.1165,-0.5553,182
zscore k=2 z=1.5 m=2,0.083,0.3183,0.006,0.0222,-0.5872,178
zscore k=2 z=1.5 m=3,0.327,1.9145,0.247,1.2743,-0.5776,172
zscore k=2 z=1.5 m=5,0.25,1.5304,0.188,1.0335,-0.5832,152
zscore k=2 z=2.0 m=1,0.231,0.8992,0.17,0.6113,-0.498,112
zscore k=2 z=2.0 m=2,0.168,0.6525,0.114,0.4149,-0.5872,106
zscore k=2 z=2.0 m=3,0.376,2.0379,0.321,1.6094,-0.5776,104
zscore k=2 z=2.0 m=5,0.555,4.6932,0.506,3.9532,-0.5832,96
zscore k=2 z=2.5 m=1,0.24,0.5918,0.198,0.4695,-0.3523,56
zscore k=2 z=2.5 m=2,0.35,1.0249,0.309,0.8693,-0.3523,56
zscore k=2 z=2.5 m=3,0.324,0.955,0.284,0.8048,-0.3523,56
zscore k=2 z=2.5 m=5,0.46,2.171,0.429,1.9466,-0.3875,52
zscore k=3 z=1.5 m=1,0.425,2.0342,0.338,1.4527,-0.3433,144
zscore k=3 z=1.5 m=2,0.423,2.2502,0.348,1.6704,-0.3875,134
zscore k=3 z=1.5 m=3,0.354,1.8953,0.287,1.3944,-0.4205,130
zscore k=3 z=1.5 m=5,0.421,2.8641,0.362,2.2469,-0.5185,120
zscore k=3 z=2.0 m=1,0.503,2.3026,0.44,1.8755,-0.3399,92
zscore k=3 z=2.0 m=2,0.439,2.1035,0.386,1.7364,-0.3875,84
zscore k=3 z=2.0 m=3,0.312,1.3826,0.268,1.1213,-0.4453,78
zscore k=3 z=2.0 m=5,0.584,4.2694,0.539,3.7063,-0.3989,76
zscore k=3 z=2.5 m=1,0.477,1.603,0.433,1.3959,-0.3246,56
zscore k=3 z=2.5 m=2,0.47,1.6744,0.429,1.4617,-0.3246,56
zscore k=3 z=2.5 m=3,0.384,1.3733,0.349,1.1989,-0.3881,52
zscore k=3 z=2.5 m=5,0.679,4.5329,0.647,4.1424,-0.3875,50
ndown n=3 m=1,-0.201,-0.3933,-0.35,-0.5918,-0.622,290
ndown n=3 m=2,-0.059,-0.1473,-0.201,-0.4263,-0.6229,290
ndown n=3 m=3,-0.121,-0.2986,-0.249,-0.5281,-0.7983,290
ndown n=3 m=5,-0.18,-0.4693,-0.267,-0.6179,-0.8479,236
ndown n=4 m=1,0.381,0.913,0.263,0.574,-0.3632,144
ndown n=4 m=2,0.516,1.5275,0.402,1.0796,-0.4139,144
ndown n=4 m=3,0.386,1.1463,0.284,0.766,-0.5095,144
ndown n=4 m=5,0.336,1.2184,0.254,0.8427,-0.5767,138
ndown n=5 m=1,0.268,0.3015,0.17,0.1824,-0.2218,72
ndown n=5 m=2,0.182,0.2107,0.09,0.0999,-0.2417,72
ndown n=5 m=3,-0.187,-0.2047,-0.264,-0.2774,-0.3838,72
ndown n=5 m=5,-0.217,-0.2889,-0.277,-0.354,-0.4818,72
lowvol z=1.5 m=1,0.395,0.4225,0.258,0.26,-0.1719,86
lowvol z=1.5 m=3,0.647,1.0888,0.543,0.862,-0.2421,80
lowvol z=2.0 m=1,0.533,0.4666,0.441,0.3719,-0.0792,50
lowvol z=2.0 m=3,0.776,1.0296,0.703,0.8985,-0.1529,48
