r,b,cash,vt,sharpe,ann_return,max_drawdown,total_return,turnover
30,5,False,False,3.808,4.8867,-0.8598,202.9905,105.0
30,5,False,True,2.341,1.4641,-0.6873,13.9611,87.5
30,5,True,False,3.492,4.2806,-0.8311,146.2451,109.0
30,5,True,True,2.553,1.447,-0.5652,13.6523,88.1
30,10,False,False,2.903,3.6677,-0.8914,100.6978,83.0
30,10,False,True,1.775,1.107,-0.7198,8.3533,70.0
30,10,True,False,2.939,3.5866,-0.89,95.4893,79.0
30,10,True,True,1.923,1.1198,-0.6924,8.5257,64.5
30,20,False,False,3.094,3.8435,-0.8916,112.6257,57.0
30,20,False,True,2.068,1.2843,-0.7011,10.9191,51.1
30,20,True,False,2.409,2.9434,-0.9017,60.3229,67.0
30,20,True,True,1.956,1.1575,-0.6995,9.0431,55.5
60,5,False,False,0.917,1.0815,-0.9205,8.0183,73.0
60,5,False,True,0.807,0.5195,-0.7439,2.5084,63.1
60,5,True,False,1.231,1.3739,-0.8321,12.3778,82.0
60,5,True,True,1.105,0.6447,-0.5942,3.449,70.8
60,10,False,False,0.804,0.9522,-0.9405,6.4396,55.0
60,10,False,True,0.847,0.5512,-0.7997,2.7327,53.1
60,10,True,False,1.092,1.2387,-0.8898,10.22,58.0
60,10,True,True,1.085,0.6555,-0.7122,3.5375,54.6
60,20,False,False,0.495,0.574,-0.9411,2.8996,45.0
60,20,False,True,0.416,0.2652,-0.7993,1.0253,44.3
60,20,True,False,0.61,0.6812,-0.903,3.7517,48.0
60,20,True,True,0.429,0.2576,-0.7439,0.9891,46.1
90,5,False,False,2.222,2.6664,-0.9412,48.287,53.0
90,5,False,True,1.686,1.0648,-0.8188,7.8028,49.0
90,5,True,False,3.663,4.16,-0.8039,136.3894,56.0
90,5,True,True,2.997,1.6908,-0.5511,18.4823,50.9
90,10,False,False,1.654,1.9554,-0.9488,24.8134,51.0
90,10,False,True,1.36,0.8408,-0.8324,5.2372,47.1
90,10,True,False,2.82,3.1952,-0.8523,72.8333,48.0
90,10,True,True,2.408,1.3748,-0.6482,12.3927,43.9
90,20,False,False,1.569,1.8323,-0.9299,21.7193,45.0
90,20,False,True,1.026,0.635,-0.7964,3.3705,41.9
90,20,True,False,2.112,2.3774,-0.8633,37.527,40.0
90,20,True,True,1.564,0.8999,-0.6479,5.8578,37.0
120,5,False,False,1.925,2.1917,-0.8927,31.5138,57.0
120,5,False,True,1.205,0.7321,-0.7371,4.197,48.4
120,5,True,False,2.054,2.2227,-0.8729,32.471,56.0
120,5,True,True,1.518,0.8218,-0.6698,5.0465,46.5
120,10,False,False,1.892,2.149,-0.8987,30.2255,35.0
120,10,False,True,1.18,0.7144,-0.7419,4.0386,34.3
120,10,True,False,1.598,1.7452,-0.9235,19.6873,42.0
120,10,True,True,0.957,0.5351,-0.8019,2.6172,40.1
120,20,False,False,1.615,1.832,-0.9075,21.7135,33.0
120,20,False,True,1.078,0.6524,-0.7444,3.5116,33.2
120,20,True,False,1.446,1.5728,-0.9201,16.0308,38.0
120,20,True,True,0.87,0.4862,-0.7989,2.2827,36.5
