fam,config,sharpe26,ret26,sharpe10,dd26,trades,n_signals
4A,hammer/any/h4,-1.899,-1.0,-1.457,-1.0,6722,6138.0
4A,hammer/any/h12,-0.623,-0.9504,0.078,-0.9801,2113,6138.0
4A,hammer/any/h24,0.833,11.6378,1.145,-0.8689,453,6138.0
4A,hammer/downtrend/h4,-2.217,-0.9999,-1.478,-0.9999,3446,2709.0
4A,hammer/downtrend/h12,-0.989,-0.9839,-0.406,-0.9857,1822,2709.0
4A,hammer/downtrend/h24,-0.399,-0.7833,0.103,-0.933,1206,2709.0
4A,bull_engulf/any/h4,-2.242,-1.0,-1.602,-1.0,5635,3519.0
4A,bull_engulf/any/h12,-1.03,-0.9951,-0.356,-0.9961,2657,3519.0
4A,bull_engulf/any/h24,0.273,1.5129,0.786,-0.9508,895,3519.0
4A,bull_engulf/downtrend/h4,-2.66,-0.9994,-1.841,-0.9994,2394,1395.0
4A,bull_engulf/downtrend/h12,-1.339,-0.9927,-0.826,-0.9939,1624,1395.0
4A,bull_engulf/downtrend/h24,-0.682,-0.9155,-0.228,-0.9477,1156,1395.0
4A,doji_rev/any/h4,-1.831,-1.0,-1.119,-1.0,6628,5494.0
4A,doji_rev/any/h12,-0.551,-0.9166,0.318,-0.983,2285,5494.0
4A,doji_rev/any/h24,1.221,27.8671,1.629,-0.8578,503,5494.0
4A,doji_rev/downtrend/h4,-2.022,-0.9996,-1.128,-0.9996,3208,2418.0
4A,doji_rev/downtrend/h12,-0.937,-0.9725,-0.255,-0.9763,1840,2418.0
4A,doji_rev/downtrend/h24,-0.227,-0.5416,0.373,-0.9338,1194,2418.0
4B,asia_00_08,-1.741,-0.9999,-0.966,-0.9999,3818,15272.0
4B,eu_08_16,-1.745,-0.9994,-0.63,-0.9995,3818,15272.0
4B,us_16_24,-1.639,-0.9996,-0.702,-0.9997,3819,15280.0
4B,weekday,0.483,3.3187,0.83,-0.9284,545,32736.0
4B,weekend,0.015,0.0297,0.479,-0.5618,546,13088.0
4B,asia_weekday,-1.802,-0.9989,-1.003,-0.999,2728,10912.0
4B,eu_weekday,-1.61,-0.9925,-0.343,-0.9926,2728,10912.0
4B,us_weekday,-1.62,-0.9971,-0.665,-0.9975,2727,10912.0
4B,top8h_1617,-2.035,-1.0,-1.94,-1.0,15274,15274.0
4B,bot8h_1617,-2.138,-1.0,-2.131,-1.0,19093,15276.0
4C,N24/stop1.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,7,
4C,N24/stop1.0ATR/timed72,0.355,1.0758,1.776,-0.6206,1425,
4C,N24/stop2.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,3,
4C,N24/stop2.0ATR/timed72,0.921,5.5429,2.052,-0.5962,1057,
4C,N72/stop1.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,5,
4C,N72/stop1.0ATR/timed72,0.594,1.6107,1.668,-0.486,908,
4C,N72/stop2.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,1,
4C,N72/stop2.0ATR/timed72,0.926,3.7892,1.707,-0.3782,666,
4C,N168/stop1.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,3,
4C,N168/stop1.0ATR/timed72,0.494,1.0739,1.245,-0.3622,628,
4C,N168/stop2.0ATR/stop-only,1.637,66.2565,1.637,-0.8394,3,
4C,N168/stop2.0ATR/timed72,0.93,2.9213,1.508,-0.4451,456,
