strategy,lookback,costs,ann_return,ann_vol,sharpe,sortino,max_drawdown,trades,total_return
buy_hold,,spot_tight,1.5457,0.8901,1.736,2.17,-0.8452,1,695.3757
tsmom,10.0,spot_tight,1.6853,0.6465,2.607,2.562,-0.671,348,1011.3444
tsmom,20.0,spot_tight,1.5246,0.6716,2.27,2.147,-0.7731,215,656.0165
tsmom,30.0,spot_tight,1.3703,0.7081,1.935,1.833,-0.7818,172,421.4023
tsmom,45.0,spot_tight,1.4744,0.7507,1.964,1.937,-0.7384,130,569.6781
tsmom,60.0,spot_tight,1.8339,0.7668,2.392,2.355,-0.704,96,1475.3302
tsmom,90.0,spot_tight,1.6816,0.7822,2.15,2.175,-0.704,94,1001.5273
tsmom,120.0,spot_tight,1.4368,0.796,1.805,1.883,-0.7458,94,511.7008
tsmom,180.0,spot_tight,2.0008,0.7944,2.518,2.579,-0.7124,26,2203.2756
tsmom,250.0,spot_tight,2.1725,0.8166,2.66,2.794,-0.7124,22,3254.2554
tsmom,365.0,spot_tight,1.4149,0.8309,1.703,1.895,-0.7156,14,480.3388
buy_hold,,cfd_base,1.5457,0.8901,1.736,2.17,-0.8452,1,695.3757
tsmom,10.0,cfd_base,1.5134,0.6468,2.34,2.319,-0.6749,348,635.8661
tsmom,20.0,cfd_base,1.4268,0.672,2.123,2.018,-0.7871,215,497.0911
tsmom,30.0,cfd_base,1.2907,0.7084,1.822,1.734,-0.7952,172,331.5009
tsmom,45.0,cfd_base,1.4119,0.7509,1.88,1.861,-0.7454,130,476.1616
tsmom,60.0,cfd_base,1.7792,0.7669,2.32,2.29,-0.704,96,1286.9365
tsmom,90.0,cfd_base,1.6304,0.7823,2.084,2.114,-0.704,94,874.8561
tsmom,120.0,cfd_base,1.3892,0.796,1.745,1.827,-0.7625,94,445.576
tsmom,180.0,cfd_base,1.9867,0.7944,2.501,2.562,-0.7124,26,2131.8634
tsmom,250.0,cfd_base,2.1582,0.8167,2.643,2.777,-0.7124,22,3152.8875
tsmom,365.0,cfd_base,1.4083,0.8308,1.695,1.887,-0.7156,14,471.1968
buy_hold,,cfd_stress,1.5457,0.8901,1.736,2.17,-0.8452,1,695.3757
tsmom,10.0,cfd_stress,1.2505,0.6475,1.931,1.938,-0.6914,348,292.7031
tsmom,20.0,cfd_stress,1.2717,0.6728,1.89,1.812,-0.813,215,312.6603
tsmom,30.0,cfd_stress,1.1637,0.709,1.641,1.571,-0.8161,172,221.9573
tsmom,45.0,cfd_stress,1.3112,0.7513,1.745,1.738,-0.7617,130,352.885
tsmom,60.0,cfd_stress,1.6902,0.7671,2.203,2.184,-0.704,96,1024.3715
tsmom,90.0,cfd_stress,1.547,0.7825,1.977,2.013,-0.7108,94,697.9791
tsmom,120.0,cfd_stress,1.3119,0.7963,1.648,1.731,-0.7879,94,353.6069
tsmom,180.0,cfd_stress,1.9634,0.7945,2.471,2.535,-0.7124,26,2017.7253
tsmom,250.0,cfd_stress,2.1345,0.8168,2.613,2.748,-0.7124,22,2990.5893
tsmom,365.0,cfd_stress,1.3974,0.8308,1.682,1.873,-0.7156,14,456.3154
