base,lookback,vol_win,tgt_vol,ann_return,ann_vol,sharpe,sortino,max_drawdown,trades,turnover
tsmom,60.0,,,1.6902,0.7671,2.203,2.184,-0.704,96,96.0
tsmom,60.0,20.0,0.4,0.7932,0.3681,2.155,2.17,-0.4486,1411,105.0
tsmom,60.0,20.0,0.6,1.1141,0.4837,2.303,2.36,-0.5346,1085,115.0
tsmom,60.0,20.0,0.8,1.4035,0.5669,2.476,2.556,-0.5577,801,113.5
tsmom,60.0,30.0,0.4,0.8289,0.3713,2.232,2.233,-0.4026,1458,93.6
tsmom,60.0,30.0,0.6,1.1382,0.4908,2.319,2.342,-0.5103,1128,107.1
tsmom,60.0,30.0,0.8,1.4319,0.5762,2.485,2.566,-0.5689,858,109.5
tsmom,60.0,60.0,0.4,0.968,0.3801,2.547,2.557,-0.3844,1493,71.1
tsmom,60.0,60.0,0.6,1.3119,0.5098,2.573,2.572,-0.495,1234,86.1
tsmom,60.0,60.0,0.8,1.6654,0.6,2.776,2.861,-0.5623,810,92.5
tsmom,90.0,,,1.547,0.7825,1.977,2.013,-0.7108,94,94.0
tsmom,90.0,20.0,0.4,0.6961,0.3725,1.869,1.922,-0.5475,1502,103.3
tsmom,90.0,20.0,0.6,1.0009,0.4912,2.038,2.142,-0.6118,1157,111.0
tsmom,90.0,20.0,0.8,1.2798,0.5773,2.217,2.35,-0.6384,840,108.5
tsmom,90.0,30.0,0.4,0.7083,0.3752,1.887,1.924,-0.5483,1571,92.1
tsmom,90.0,30.0,0.6,1.0097,0.498,2.027,2.1,-0.6102,1222,102.6
tsmom,90.0,30.0,0.8,1.3005,0.5867,2.216,2.346,-0.632,912,103.3
tsmom,90.0,60.0,0.4,0.9035,0.3826,2.361,2.421,-0.515,1597,75.6
tsmom,90.0,60.0,0.6,1.2653,0.5119,2.472,2.544,-0.5705,1285,89.2
tsmom,90.0,60.0,0.8,1.6036,0.6045,2.653,2.819,-0.6123,918,96.0
tsmom,120.0,,,1.3119,0.7963,1.648,1.731,-0.7879,94,94.0
tsmom,120.0,20.0,0.4,0.6308,0.3811,1.655,1.75,-0.6341,1531,111.9
tsmom,120.0,20.0,0.6,0.8629,0.5036,1.714,1.836,-0.7053,1224,117.0
tsmom,120.0,20.0,0.8,1.0779,0.5926,1.819,1.963,-0.7336,886,112.9
tsmom,120.0,30.0,0.4,0.6404,0.3833,1.671,1.756,-0.6325,1616,100.2
tsmom,120.0,30.0,0.6,0.8691,0.5099,1.705,1.804,-0.706,1260,108.7
tsmom,120.0,30.0,0.8,1.1154,0.6013,1.855,2.004,-0.7244,954,107.2
tsmom,120.0,60.0,0.4,0.8092,0.391,2.069,2.193,-0.6169,1702,86.5
tsmom,120.0,60.0,0.6,1.1047,0.5247,2.105,2.227,-0.6816,1365,98.7
tsmom,120.0,60.0,0.8,1.4073,0.6219,2.263,2.469,-0.714,948,100.3
tsmom,180.0,,,1.9634,0.7945,2.471,2.535,-0.7124,26,26.0
tsmom,180.0,20.0,0.4,0.9686,0.3766,2.572,2.698,-0.5185,1458,53.1
tsmom,180.0,20.0,0.6,1.2918,0.5015,2.576,2.705,-0.6064,1141,53.5
tsmom,180.0,20.0,0.8,1.5924,0.5928,2.686,2.831,-0.6489,826,46.8
tsmom,180.0,30.0,0.4,1.005,0.3754,2.677,2.829,-0.471,1546,40.7
tsmom,180.0,30.0,0.6,1.3277,0.5056,2.626,2.737,-0.5708,1212,43.7
tsmom,180.0,30.0,0.8,1.6501,0.6022,2.74,2.894,-0.6159,925,41.6
tsmom,180.0,60.0,0.4,1.1967,0.3809,3.142,3.344,-0.4279,1629,28.2
tsmom,180.0,60.0,0.6,1.6296,0.5185,3.143,3.272,-0.5234,1334,31.9
tsmom,180.0,60.0,0.8,2.0468,0.6205,3.299,3.531,-0.5998,911,31.4
tsmom,250.0,,,2.1345,0.8168,2.613,2.748,-0.7124,22,22.0
tsmom,250.0,20.0,0.4,1.0543,0.3894,2.707,2.897,-0.4213,1566,54.4
tsmom,250.0,20.0,0.6,1.4314,0.5195,2.755,2.968,-0.5471,1214,52.1
tsmom,250.0,20.0,0.8,1.7619,0.6128,2.875,3.115,-0.6172,840,43.9
tsmom,250.0,30.0,0.4,1.1034,0.3891,2.836,3.061,-0.4014,1635,43.6
tsmom,250.0,30.0,0.6,1.4786,0.5258,2.812,3.015,-0.5397,1288,43.8
tsmom,250.0,30.0,0.8,1.835,0.6242,2.94,3.197,-0.6161,949,38.9
tsmom,250.0,60.0,0.4,1.2734,0.3905,3.261,3.512,-0.3484,1701,29.6
tsmom,250.0,60.0,0.6,1.751,0.5347,3.275,3.485,-0.4876,1420,32.8
tsmom,250.0,60.0,0.8,2.2026,0.6398,3.443,3.766,-0.5726,941,29.9
